Sonic Automotive,Hertz Car Sales,HGreg,Auto Boutique,Penske,Woodhouse Auto Family,Avis,EchoPark,Other
91,27412,28347,29951,26204,28919,28558,29196,25877
226,27413,28348,30405,26205,28959,28563,29197,27400
341,27414,28349,31477,26206,28960,28812,29198,27404
400,27415,28350,,26207,28961,28813,31193,27405
408,27416,28351,,26208,28962,28814,31196,27406
412,27417,29829,,28713,28963,28815,31708,30031
413,27418,29842,,29786,28964,28816,31776,30718
414,27419,29843,,30198,28965,28817,33106,32086
415,27424,30211,,30639,28966,28818,,32750
416,27425,33325,,,28967,28819,,62943
432,27426,,,,29282,28820,,66168
433,28234,,,,29283,28821,,69267
435,28411,,,,29284,28822,,
436,28412,,,,29937,28827,,
437,28413,,,,31007,28828,,
443,28414,,,,32131,28829,,
445,28415,,,,32466,29005,,
458,28416,,,,32866,29006,,
459,28417,,,,40301,29007,,
482,28448,,,,45656,29008,,
483,28450,,,,46274,29009,,
484,28451,,,,46275,29010,,
485,28452,,,,47115,29011,,
486,28473,,,,53065,29533,,
498,28474,,,,53066,30282,,
506,28475,,,,,33347,,
507,28476,,,,,,,
510,28477,,,,,,,
511,28478,,,,,,,
513,28479,,,,,,,
515,28480,,,,,,,
518,28481,,,,,,,
523,28482,,,,,,,
524,28483,,,,,,,
529,28484,,,,,,,
530,28485,,,,,,,
531,28486,,,,,,,
532,28487,,,,,,,
543,28488,,,,,,,
560,28489,,,,,,,
636,28490,,,,,,,
639,28491,,,,,,,
640,28492,,,,,,,
719,28493,,,,,,,
734,28494,,,,,,,
938,28495,,,,,,,
1080,28496,,,,,,,
1091,28497,,,,,,,
8395,28498,,,,,,,
29127,28499,,,,,,,
29128,28500,,,,,,,
29129,28501,,,,,,,
29130,28502,,,,,,,
29131,28503,,,,,,,
29133,28504,,,,,,,
29134,28505,,,,,,,
29135,28506,,,,,,,
29136,28507,,,,,,,
29137,28508,,,,,,,
29139,28509,,,,,,,
29140,28510,,,,,,,
29141,28511,,,,,,,
29142,28512,,,,,,,
29143,28513,,,,,,,
29144,28514,,,,,,,
29145,28515,,,,,,,
29147,28516,,,,,,,
29148,28517,,,,,,,
29149,28518,,,,,,,
29150,28519,,,,,,,
29151,28520,,,,,,,
29152,28521,,,,,,,
29153,28522,,,,,,,
29154,28523,,,,,,,
29155,28524,,,,,,,
29156,28525,,,,,,,
29157,28526,,,,,,,
29158,28527,,,,,,,
29159,28528,,,,,,,
29160,28529,,,,,,,
29161,28530,,,,,,,
29162,28531,,,,,,,
29165,28532,,,,,,,
29166,28533,,,,,,,
29167,28534,,,,,,,
29168,28535,,,,,,,
29169,28536,,,,,,,
29170,28883,,,,,,,
29171,29013,,,,,,,
29172,29014,,,,,,,
29173,29015,,,,,,,
29174,29016,,,,,,,
29175,29017,,,,,,,
29176,29018,,,,,,,
29177,29019,,,,,,,
29178,29020,,,,,,,
29179,29021,,,,,,,
29180,29022,,,,,,,
29181,29452,,,,,,,
29182,29609,,,,,,,
29183,30663,,,,,,,
29184,30664,,,,,,,
29185,30665,,,,,,,
29186,30666,,,,,,,
29187,30667,,,,,,,
29188,30668,,,,,,,
29189,30669,,,,,,,
29190,31169,,,,,,,
29191,32845,,,,,,,
29192,58934,,,,,,,
29193,58935,,,,,,,
29194,60103,,,,,,,
29195,60107,,,,,,,
29196,,,,,,,,
29197,,,,,,,,
29198,,,,,,,,
29199,,,,,,,,
29200,,,,,,,,
29202,,,,,,,,
29203,,,,,,,,
29204,,,,,,,,
29205,,,,,,,,
29206,,,,,,,,
29207,,,,,,,,
29208,,,,,,,,
29209,,,,,,,,
29210,,,,,,,,
29211,,,,,,,,
29212,,,,,,,,
29213,,,,,,,,
29215,,,,,,,,
29216,,,,,,,,
29217,,,,,,,,
29218,,,,,,,,
29483,,,,,,,,
30266,,,,,,,,
30469,,,,,,,,
30582,,,,,,,,
30593,,,,,,,,
30600,,,,,,,,
30746,,,,,,,,
30961,,,,,,,,
30962,,,,,,,,
30963,,,,,,,,
30964,,,,,,,,
30965,,,,,,,,
30966,,,,,,,,
30967,,,,,,,,
30968,,,,,,,,
30969,,,,,,,,
30970,,,,,,,,
30971,,,,,,,,
30972,,,,,,,,
30973,,,,,,,,
30974,,,,,,,,
30975,,,,,,,,
30976,,,,,,,,
30977,,,,,,,,
30978,,,,,,,,
30979,,,,,,,,
30980,,,,,,,,
30981,,,,,,,,
30982,,,,,,,,
30983,,,,,,,,
30984,,,,,,,,
30985,,,,,,,,
31011,,,,,,,,
31183,,,,,,,,
31186,,,,,,,,
31188,,,,,,,,
31189,,,,,,,,
31193,,,,,,,,
31196,,,,,,,,
31197,,,,,,,,
31199,,,,,,,,
31202,,,,,,,,
31208,,,,,,,,
31209,,,,,,,,
31210,,,,,,,,
31211,,,,,,,,
31212,,,,,,,,
31213,,,,,,,,
31215,,,,,,,,
31350,,,,,,,,
31776,,,,,,,,
32382,,,,,,,,
33106,,,,,,,,
37913,,,,,,,,
41945,,,,,,,,
49860,,,,,,,,
49927,,,,,,,,
59746,,,,,,,,
59751,,,,,,,,
59753,,,,,,,,
