lob,vintage,model_score,gross_loss,recovery,ltv,apr,ragu_score,amt_financed_x,month_run
AN,2025-12-28/2026-01-03,140.4895772042951,3.3529206486260534,4.707174692256193,3.7095542627163076,0.9086550073610182,153.16788181525467,3220104.8499999996,2026 M09
AN,2026-01-04/2026-01-10,140.53183755730007,3.5436269793568727,3.671817704050045,3.568927503385867,0.6321011533333722,151.94831089742624,2980427.9299999997,2026 M09
AN,2026-01-11/2026-01-17,140.4284786949259,3.0302129757525904,3.0869015031051235,4.47270030364046,0.5327952285126192,151.5510887059367,2913291.58,2026 M09
AN,2026-01-18/2026-01-24,140.133273184999,3.6058476528015717,1.9856999739094712,2.955829501934601,0.15830178030447006,148.8389520939491,2476521.8899999997,2026 M09
AN,2026-01-25/2026-01-31,140.42300565729698,2.8174643234309826,2.5316478880017024,5.023127883856068,1.041745831555794,151.83699158414154,3187504.5799999996,2026 M09
AN,2026-02-01/2026-02-07,139.6577954059721,2.968754231187546,1.9316049171336813,4.0788916575616,-0.10402647911568141,148.53301973273926,3487655.37,2026 M09
AN,2026-02-08/2026-02-14,140.71684399524406,3.003321138413895,1.629399335396444,4.1724997532807855,0.4813424454135328,150.0034066677487,3939777.66,2026 M09
AN,2026-02-15/2026-02-21,140.26613030966888,3.10734082734416,1.0624122260819813,4.725888143834468,0.8036161057157526,149.96538761264523,5484726.75,2026 M09
AN,2026-02-22/2026-02-28,139.50565153486625,2.213558070278424,1.1606792608656822,5.254183799360381,0.2062351111874014,148.34030777655812,7653936.42,2026 M09
AN,2026-03-01/2026-03-07,141.36988648185314,2.673950895926822,2.339470140337636,4.243097825220407,0.753678785445191,151.3800841287832,5920748.52,2026 M09
AN,2026-03-08/2026-03-14,140.72276927446111,2.7227385329082097,1.2033187655931314,3.6342268281419554,0.526683751035615,148.80973715214003,4553613.71,2026 M09
AN,2026-03-15/2026-03-21,139.5328914508093,2.7889148058002604,1.0623003355728406,3.794942016602541,0.4805485147389168,147.65959712352387,3951213.0600000005,2026 M09
AN,2026-03-22/2026-03-28,140.56513704768943,2.987648667084386,1.68202644870137,3.811786114396405,0.8228442127401847,149.86944249061176,4744420.74,2026 M09
AN,2026-03-29/2026-04-04,140.87895178150382,3.3318987918154903,2.5963709001936435,3.5696735113001083,0.5417099401250158,150.91860492493805,4517768.029999999,2026 M09
AN,2026-04-05/2026-04-11,139.78267551041748,3.039430860266691,1.4978307993717874,3.110210385375991,0.8618015460191558,148.29194910145108,4391450.130000001,2026 M09
AN,2026-04-12/2026-04-18,140.660680165421,3.347684378821185,4.355255718865194,4.729294735928807,1.1294387471822989,154.22235374621852,4977656.970000001,2026 M09
AN,2026-04-19/2026-04-25,140.72287391318503,3.619021219922729,3.2032058170000486,3.5253198650586386,1.020041859223455,152.09046267438987,5492368.970000001,2026 M09
AN,2026-04-26/2026-05-02,140.94370186719527,3.394714520076832,3.7939489606649217,4.847635709479613,1.5174065639269125,154.49740762134357,5252397.91,2026 M09
AN,2026-05-03/2026-05-09,140.98491324403076,3.7288701345745494,3.321313860713132,4.202177193123147,1.74450588220908,153.98178031465065,5039020.99,2026 M09
AN,2026-05-10/2026-05-16,141.62522003935322,3.516168532225663,3.722245820587246,4.497917420544844,1.2232640130786299,154.5848158257896,5139222.75,2026 M09
AN,2026-05-17/2026-05-23,140.732121479365,2.8095754735832656,3.0231992527383516,4.875955152873778,1.2845925431560485,152.72544390171643,5859138.300000001,2026 M09
AN,2026-05-24/2026-05-30,140.7522022415655,3.7473912528963353,5.055581898487371,3.998123084433642,1.316202585342547,154.8695010627254,5861629.450000001,2026 M09
AN,2026-05-31/2026-06-06,140.81055832100702,3.606768521173734,2.7529595977694354,4.952021497377981,1.4627528400031882,153.58506077733136,4958280.53,2026 M09
AN,2026-06-07/2026-06-13,141.0553732282947,3.5190572895859873,4.302414212693994,4.010300580944601,1.8012694690834166,154.68841478060273,5247689.389999999,2026 M09
AN,2026-06-14/2026-06-20,142.18569838481423,3.531180239094226,2.3843550733664487,4.012422264265524,1.9431574219697636,154.05681338351022,5299439.470000001,2026 M09
AN,2026-06-21/2026-06-27,141.38209872817544,3.2744678063640436,2.3643402857410147,4.177202210564567,1.7028213446379339,152.90093037548297,4975160.92,2026 M09
AN,2026-06-28/2026-07-04,141.13144602664713,4.00792529873425,3.686354469813422,4.376411055406631,1.7625626930376728,154.96469954363909,5642143.42,2026 M09
AN,2026-07-05/2026-07-11,141.15729292874428,3.698406735899823,4.859230410873842,4.604625554784563,1.9586811222626612,156.2782367525652,5845718.16,2026 M09
AN,2026-07-12/2026-07-18,140.75020659414983,3.0199278412126205,2.490040036217529,4.074207750733118,1.2840725314428931,151.61845475375597,6315728.209999999,2026 M09
AN,2026-07-19/2026-07-25,140.68363807948035,3.190500139451416,2.72421168925719,4.064970697336788,1.3704018871048043,152.03372249263052,5661452.390000001,2026 M09
AN,2026-07-26/2026-08-01,140.99847061966835,3.120542635686178,4.259712555030992,3.4931697711269574,1.170671493205112,153.0425670747176,5347235.97,2026 M09
AN,2026-08-02/2026-08-08,142.71838947286352,3.3038446539736697,2.835759246873755,4.189593807448881,1.323089515183586,154.37067669634342,4259633.0,2026 M09
AN,2026-08-09/2026-08-15,142.62955590940447,3.8612243091469054,2.711717210924451,3.669814083009523,0.7435533495552317,153.61586486204058,4186633.31,2026 M09
AN,2026-08-16/2026-08-22,141.48235438067516,3.7529791761396893,4.291935438434635,4.015389799702916,1.6108637709804674,155.15352256593286,4143190.6500000004,2026 M09
AN,2026-08-23/2026-08-29,141.89296518031688,2.8010786891769897,4.503301082608006,4.792518208046485,1.470252275897821,155.46011543604618,3560597.02,2026 M09
AN,2026-08-30/2026-09-05,142.06553109614964,4.346919876363046,7.38607025700961,4.68098641891412,1.4622400870289805,159.9417477354654,1980719.5,2026 M09
AN,2026-09-06/2026-09-12,145.2189912990754,5.887286604085489,6.110100471527268,2.000332800622434,2.061944854555179,161.2786560298658,283411.26,2026 M09
