Dealer Number,Corporate Dealer Group,DLA Loss Scalar,Dealer Level,Loss Ratio
29951,Auto Boutique,0.7,A,0.482835844916481
30405,Auto Boutique,0.7,A,0.647589946914302
31477,Auto Boutique,1.0,C,0.857978896902925
28558,Avis,1.0,C,1.09517656553797
28563,Avis,1.0,C,1.09517656553797
28812,Avis,1.0,C,1.09517656553797
28813,Avis,1.25,D,0.959438866294256
28814,Avis,1.0,C,1.09517656553797
28815,Avis,1.0,C,1.09517656553797
28816,Avis,1.0,C,1.09517656553797
28817,Avis,1.0,C,1.09517656553797
28818,Avis,1.0,C,1.09517656553797
28819,Avis,1.0,C,1.09517656553797
28820,Avis,1.0,C,1.09517656553797
28821,Avis,1.0,C,1.09517656553797
28822,Avis,1.0,C,1.09517656553797
28827,Avis,1.0,C,1.09517656553797
28828,Avis,1.0,C,1.09517656553797
28829,Avis,1.0,C,1.09517656553797
29008,Avis,1.0,C,1.09517656553797
29533,Avis,1.0,C,1.09517656553797
30282,Avis,1.0,C,1.09517656553797
33347,Avis,1.0,C,1.09517656553797
29196,EchoPark,0.7,A,0.311677350111603
29197,EchoPark,1.0,C,1.27639167153156
29198,EchoPark,1.0,C,1.02978057846039
31193,EchoPark,1.25,D,1.08022736510029
31196,EchoPark,0.7,A,0.678869584702036
31708,EchoPark,1.0,C,1.02978057846039
31776,EchoPark,1.0,C,1.21853052509246
33106,EchoPark,1.4,E,1.25078234484347
28347,HGreg,1.0,C,0.824458107502026
28348,HGreg,1.4,E,1.57066585536215
28349,HGreg,1.0,C,0.824458107502026
28350,HGreg,1.0,C,0.999172355673742
28351,HGreg,1.0,C,0.989238130437644
29646,HGreg,1.0,C,1.0
29647,HGreg,1.0,C,1.0
29842,HGreg,0.85,B,0.91296017072782
30211,HGreg,0.85,B,0.835893844022551
33325,HGreg,1.0,C,0.857354949517522
27412,Hertz Car Sales,0.85,B,0.877231756354512
27413,Hertz Car Sales,0.85,B,0.877231756354512
27414,Hertz Car Sales,0.85,B,0.877231756354512
27415,Hertz Car Sales,1.0,C,0.877231756354512
27416,Hertz Car Sales,1.0,C,0.886518290735077
27417,Hertz Car Sales,0.85,B,0.877231756354512
27418,Hertz Car Sales,0.85,B,0.877231756354512
27419,Hertz Car Sales,0.85,B,0.877231756354512
27424,Hertz Car Sales,0.85,B,0.877231756354512
27425,Hertz Car Sales,0.85,B,0.877231756354512
27426,Hertz Car Sales,0.85,B,0.877231756354512
28234,Hertz Car Sales,1.0,C,0.877231756354512
28411,Hertz Car Sales,1.0,C,0.877231756354512
28412,Hertz Car Sales,0.85,B,0.877231756354512
