First group (8/1/2023 - 8/1/2024 loans above $80k):,Second group (8/1/2024-8/1/2025 loans above $80k):,Third group (2024 loans above $80k):
90124553724,90124779165,90124635314
90124554119,90124780554,90124635566
90124555681,90124781652,90124638127
90124557366,90124781992,90124639334
90124557828,90124782311,90124640387
90124558427,90124783255,90124641062
90124558659,90124784999,90124645404
90124559105,90124785131,90124646288
90124561624,90124787997,90124650487
90124563403,90124788006,90124651412
90124563463,90124788614,90124651785
90124568797,90124789904,90124652476
90124572558,90124790636,90124653973
90124574677,90124790820,90124657105
90124577516,90124791298,90124658320
90124578061,90124791699,90124659413
90124580694,90124791707,90124660406
90124581644,90124792289,90124661987
90124581745,90124792485,90124662863
90124582360,90124792906,90124663164
90124588210,90124793078,90124670139
90124589121,90124793180,90124670313
90124591142,90124796590,90124673153
90124593183,90124797890,90124677507
90124597705,90124798847,90124678147
90124603868,90124799698,90124679210
90124606304,90124801207,90124680738
90124607819,90124801564,90124684912
90124607993,90124801577,90124689152
90124607994,90124803396,90124689896
90124609517,90124803842,90124703091
90124609530,90124805603,90124704882
90124610240,90124808306,90124705860
90124612805,90124808895,90124705947
90124614055,90124809161,90124705988
90124614062,90124816076,90124706693
90124621225,90124816233,90124706700
90124622431,90124816767,90124707177
90124622803,90124817433,90124709803
90124622926,90124818402,90124712283
90124622929,90124818618,90124712627
90124622930,90124818918,90124712793
90124623449,90124820912,90124716781
90124624237,90124821266,90124717084
90124625697,90124824202,90124718376
90124626084,90124826577,90124719722
90124628618,90124828201,90124720089
90124635314,90124829064,90124721244
90124635566,90124839772,90124723437
90124638127,90124840620,90124723548
90124639334,90124843219,90124723822
90124640387,90124844170,90124724566
90124641062,90124844975,90124726354
90124645404,90124845310,90124727766
90124646288,90124853041,90124730917
90124650487,90124853279,90124732225
90124651412,90124853714,90124732236
90124651785,90124854238,90124736200
90124652476,90124854904,90124738293
90124653973,90124855904,90124738589
90124657105,90124856342,90124738676
90124658320,90124856898,90124738999
90124659413,90124857609,90124740613
90124660406,90124858291,90124744879
90124661987,90124858599,90124745327
90124662863,90124859274,90124745391
90124663164,90124860004,90124745591
90124670139,90124860391,90124746628
90124670313,90124862201,90124746843
90124673153,90124871292,90124747438
90124677507,90124871298,90124751898
90124678147,90124875057,90124753757
90124679210,90124879223,90124754143
90124680738,90124880717,90124754170
90124684912,90124880720,90124754277
90124689152,90124881380,90124754820
90124689896,90124882308,90124755018
90124703091,90124882315,90124759568
90124704882,90124882915,90124759614
90124705860,90124882935,90124760082
90124705947,90124884526,90124760785
90124705988,90124885198,90124761291
90124706693,90124885675,90124762427
90124706700,90124886310,90124765954
90124707177,90124886706,90124767002
90124709803,90124887300,90124769096
90124712283,90124888197,90124771298
90124712627,90124889739,90124771641
90124712793,90124891076,90124771684
90124716781,90124891596,90124771919
90124717084,90124891600,90124773295
90124718376,90124893517,90124776698
90124719722,90124894306,90124776711
90124720089,90124894699,90124776822
90124721244,90124900012,90124777606
90124723437,90124900938,90124777611
90124723548,90124901731,90124779165
90124723822,90124902295,90124780554
90124724566,90124902335,90124781652
90124726354,90124904551,90124781992
90124727766,90124905021,90124782311
90124730917,90124906693,90124783255
90124732225,90124909311,90124784999
90124732236,90124910154,90124785131
90124736200,90124910437,90124787997
90124738293,90124911020,90124788006
90124738589,90124912537,90124788614
90124738676,90124915510,90124789904
90124738999,90124919606,90124790636
90124740613,90124920520,90124790820
90124744879,90124920596,90124791298
90124745327,90124922483,90124791699
90124745391,90124922500,90124791707
90124745591,90124925389,90124792289
90124746628,90124927126,90124792485
90124746843,90124930326,90124792906
90124747438,90124930334,90124793078
90124751898,90124930389,90124793180
90124753757,90124932024,90124796590
90124754143,90124932424,90124797890
90124754170,90124932945,90124798847
90124754277,90124934040,90124799698
90124754820,90124935823,90124801207
90124755018,90124937683,90124801564
90124759568,90124938609,90124801577
90124759614,90124939242,90124803396
90124760082,90124939559,90124803842
90124760785,90124939692,90124805603
90124761291,90124940928,90124808306
90124762427,90124943869,90124808895
90124765954,90124944276,90124809161
90124767002,90124946322,90124816076
90124769096,90124946781,90124816233
90124771298,90124952604,90124816767
90124771641,90124954906,90124817433
90124771684,90124955670,90124818402
90124771919,90124956006,90124818618
90124773295,90124956462,90124818918
90124776698,90124957540,90124820912
90124776711,90124957752,90124821266
90124776822,90124959325,90124824202
90124777606,90124959976,90124826577
90124777611,90124961613,90124828201
,90124962676,90124829064
,90124962794,90124839772
,90124963292,90124840620
,90124964925,90124843219
,90124965223,90124844170
,90124967207,90124844975
,90124967221,90124845310
,90124969848,90124853041
,90124970195,90124853279
,90124972993,90124853714
,90124973441,90124854238
,90124973619,90124854904
,90124976826,90124855904
,90124976851,90124856342
,90124978349,90124856898
,90124978441,90124857609
,90124979235,90124858291
,90124981692,90124858599
,90124982143,90124859274
,90124982152,90124860004
,90124985351,90124860391
,90124985538,90124862201
,90124986380,90124871292
,90124986631,90124871298
,90124986633,90124875057
,90124987703,90124879223
,90124989306,
,90124989329,
,90124990957,
,90124990970,
,90124992632,
,90124993894,
,90124995914,
,90124996402,
,90125000432,
,90125001009,
,90125001273,
,90125001459,
,90125002978,
,90125003408,
,90125003659,
,90125005916,
,90125006411,
,90125006583,
,90125008146,
,90125008491,
,90125009401,
,90125009824,
,90125009921,
,90125010624,
,90125010869,
,90125010951,
,90125013691,
,90125014237,
,90125015494,
,90125016201,
,90125016442,
,90125016887,
,90125017372,
,90125020371,
,90125020710,
,90125022211,
,90125022934,
,90125023692,
,90125025199,
,90125026012,
,90125027591,
,90125030620,
,90125031812,
,90125031815,
,90125031820,
,90125031824,
,90125031838,
,90125032712,
,90125033932,
,90125034702,
,90125034709,
,90125035503,
,90125036202,
,90125037421,
,90125038052,
,90125038554,
,90125039135,
,90125043907,
,90125043916,
